epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,44,,,,,,0.8895000219345093,0.30008450150489807
0,44,,,0.7946087121963501,,0.4503667950630188,,
1,49,,,,0.91796875,,,
1,89,,,,,,0.8989999890327454,0.2668474614620209
1,89,,,0.9079130291938782,,0.2553994655609131,,
2,99,,,,0.919921875,,,
2,134,,,,,,0.8960000276565552,0.27869951725006104
2,134,,,0.9325217604637146,,0.19004426896572113,,
3,149,,,,0.953125,,,
3,179,,,,,,0.890999972820282,0.2904703915119171
3,179,,,0.9485652446746826,,0.1512296348810196,,
4,199,,,,0.96484375,,,
4,224,,,,,,0.890999972820282,0.30590423941612244
4,224,,,0.9575217366218567,,0.12599241733551025,,
5,249,,,,0.95703125,,,
5,269,,,,,,0.8859999775886536,0.34806305170059204
5,269,,,0.9678260684013367,,0.10081835091114044,,
6,299,,,,0.96484375,,,
6,314,,,,,,0.8815000057220459,0.37684014439582825
6,314,,,0.9762173891067505,,0.07953326404094696,,
7,349,,,,0.990234375,,,
7,359,,,,,,0.8805000185966492,0.39190390706062317
7,359,,,0.9788695573806763,,0.06702718883752823,,
8,399,,,,0.98828125,,,
8,404,,,,,,0.8809999823570251,0.44496285915374756
8,404,,,0.9841304421424866,,0.05036797747015953,,
9,449,,,,0.9894067645072937,,,
9,449,,,,,,0.8790000081062317,0.47984543442726135
9,449,,,0.9882608652114868,,0.03988850489258766,,
10,494,,,,,,0.8790000081062317,0.5231567025184631
10,494,,,0.9914347529411316,,0.032049451023340225,,
11,499,,,,1.0,,,
11,539,,,,,,0.8784999847412109,0.56627357006073
11,539,,,0.9919999837875366,,0.02668401226401329,,
12,549,,,,0.990234375,,,
12,584,,,,,,0.8790000081062317,0.6359272599220276
12,584,,,0.9938695430755615,,0.020082058385014534,,
13,599,,,,0.99609375,,,
13,629,,,,,,0.8799999952316284,0.6269214153289795
13,629,,,0.9946087002754211,,0.01761408895254135,,
14,649,,,,0.99609375,,,
14,674,,,,,,0.8759999871253967,0.6409307718276978
14,674,,,0.9957391023635864,,0.01475740410387516,,
15,699,,,,1.0,,,
15,719,,,,,,0.8809999823570251,0.7367863655090332
15,719,,,0.9957826137542725,,0.013843598775565624,,
16,749,,,,0.994140625,,,
16,764,,,,,,0.8794999718666077,0.7732633352279663
16,764,,,0.9966521859169006,,0.011702891439199448,,
17,799,,,,0.998046875,,,
17,809,,,,,,0.8805000185966492,0.757697582244873
17,809,,,0.9956521987915039,,0.012904803268611431,,
18,849,,,,0.998046875,,,
18,854,,,,,,0.8809999823570251,0.8197638392448425
18,854,,,0.9963912963867188,,0.010044463910162449,,
19,899,,,,0.9978813529014587,,,
19,899,,,,,,0.8820000290870667,0.8457291126251221
19,899,,,0.9965217113494873,,0.009005161002278328,,
20,944,,,,,,0.8769999742507935,0.871707558631897
20,944,,,0.9968261122703552,,0.008808900602161884,,
21,949,,,,0.998046875,,,
21,989,,,,,,0.8790000081062317,0.872069776058197
21,989,,,0.9971739053726196,,0.0077639068476855755,,
22,999,,,,0.998046875,,,
22,1034,,,,,,0.8790000081062317,0.9800747632980347
22,1034,,,0.9977825880050659,,0.0058857291005551815,,
23,1049,,,,1.0,,,
23,1079,,,,,,0.8815000057220459,0.8763238787651062
23,1079,,,0.9970869421958923,,0.008772746659815311,,
24,1099,,,,0.994140625,,,
24,1124,,,,,,0.8799999952316284,0.974524974822998
24,1124,,,0.996999979019165,,0.008481653407216072,,
25,1149,,,,0.998046875,,,
25,1169,,,,,,0.8769999742507935,0.9729824662208557
25,1169,,,0.9973043203353882,,0.006996473763138056,,
26,1199,,,,0.99609375,,,
26,1214,,,,,,0.8769999742507935,1.0280426740646362
26,1214,,,0.9977391362190247,,0.008155331946909428,,
27,1249,,,,0.99609375,,,
27,1259,,,,,,0.8790000081062317,1.0486427545547485
27,1259,,,0.9968261122703552,,0.009355947375297546,,
28,1299,,,,1.0,,,
28,1304,,,,,,0.8744999766349792,1.1570314168930054
28,1304,,,0.998347818851471,,0.004989659413695335,,
29,1349,,,,0.9978813529014587,,,
29,1349,,,,,,0.8734999895095825,1.106828212738037
29,1349,,,0.9977391362190247,,0.005853236187249422,,
30,1350,0.8621600270271301,1.1731061935424805,,,,,
