epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,44,,,,0.8765000104904175,0.3144579827785492
0,44,0.8282608985900879,,0.4149874448776245,,
1,49,,0.9296875,,,
1,89,,,,0.8964999914169312,0.2765320837497711
1,89,0.9234782457351685,,0.21375396847724915,,
2,99,,0.9453125,,,
2,134,,,,0.871999979019165,0.34522223472595215
2,134,0.9423043727874756,,0.1638987809419632,,
3,149,,0.951171875,,,
3,179,,,,0.8834999799728394,0.318650484085083
3,179,0.9521304368972778,,0.13511499762535095,,
4,199,,0.96875,,,
4,224,,,,0.8880000114440918,0.330595999956131
4,224,0.9604782462120056,,0.11473595350980759,,
5,249,,0.970703125,,,
5,269,,,,0.8694999814033508,0.39684998989105225
5,269,0.9743912816047668,,0.08691049367189407,,
6,299,,0.990234375,,,
6,314,,,,0.8679999709129333,0.4222396910190582
6,314,0.9793912768363953,,0.07067336142063141,,
7,349,,0.974609375,,,
7,359,,,,0.8734999895095825,0.4356520175933838
7,359,0.9843478202819824,,0.057457663118839264,,
8,399,,0.986328125,,,
8,404,,,,0.8725000023841858,0.4767685532569885
8,404,0.9912173748016357,,0.04039361700415611,,
9,449,,0.991525411605835,,,
9,449,,,,0.8755000233650208,0.5078390836715698
9,449,0.979869544506073,,0.07555536925792694,,
10,494,,,,0.8734999895095825,0.5351487994194031
10,494,0.995956540107727,,0.024320730939507484,,
11,499,,0.99609375,,,
11,539,,,,0.8715000152587891,0.5645325779914856
11,539,0.9979565143585205,,0.017302256077528,,
