epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,44,,,,,,0.8765000104904175,0.3144579827785492
0,44,,,0.8282608985900879,,0.4149874448776245,,
1,49,,,,0.9296875,,,
1,89,,,,,,0.8964999914169312,0.2765320837497711
1,89,,,0.9234782457351685,,0.21375396847724915,,
2,99,,,,0.9453125,,,
2,134,,,,,,0.871999979019165,0.34522223472595215
2,134,,,0.9423043727874756,,0.1638987809419632,,
3,149,,,,0.951171875,,,
3,179,,,,,,0.8834999799728394,0.318650484085083
3,179,,,0.9521304368972778,,0.13511499762535095,,
4,199,,,,0.96875,,,
4,224,,,,,,0.8880000114440918,0.330595999956131
4,224,,,0.9604782462120056,,0.11473595350980759,,
5,249,,,,0.970703125,,,
5,269,,,,,,0.8694999814033508,0.39684998989105225
5,269,,,0.9743912816047668,,0.08691049367189407,,
6,299,,,,0.990234375,,,
6,314,,,,,,0.8679999709129333,0.4222396910190582
6,314,,,0.9793912768363953,,0.07067336142063141,,
7,349,,,,0.974609375,,,
7,359,,,,,,0.8734999895095825,0.4356520175933838
7,359,,,0.9843478202819824,,0.057457663118839264,,
8,399,,,,0.986328125,,,
8,404,,,,,,0.8725000023841858,0.4767685532569885
8,404,,,0.9912173748016357,,0.04039361700415611,,
9,449,,,,0.991525411605835,,,
9,449,,,,,,0.8755000233650208,0.5078390836715698
9,449,,,0.979869544506073,,0.07555536925792694,,
10,494,,,,,,0.8734999895095825,0.5351487994194031
10,494,,,0.995956540107727,,0.024320730939507484,,
11,499,,,,0.99609375,,,
11,539,,,,,,0.8715000152587891,0.5645325779914856
11,539,,,0.9979565143585205,,0.017302256077528,,
12,549,,,,1.0,,,
12,584,,,,,,0.8734999895095825,0.5966164469718933
12,584,,,0.9986087083816528,,0.012709075585007668,,
13,599,,,,1.0,,,
13,629,,,,,,0.8740000128746033,0.6355933547019958
13,629,,,0.9991304278373718,,0.009198877029120922,,
14,649,,,,1.0,,,
14,674,,,,,,0.8725000023841858,0.670131266117096
14,674,,,0.999434769153595,,0.00622445298358798,,
15,699,,,,1.0,,,
15,719,,,,,,0.8725000023841858,0.7109225988388062
15,719,,,0.9996956586837769,,0.004091160837560892,,
16,749,,,,1.0,,,
16,764,,,,,,0.8679999709129333,0.7488613128662109
16,764,,,0.9999565482139587,,0.0026218537241220474,,
17,799,,,,1.0,,,
17,809,,,,,,0.8675000071525574,0.792282223701477
17,809,,,1.0,,0.0017550677293911576,,
18,849,,,,1.0,,,
18,854,,,,,,0.8675000071525574,0.8291269540786743
18,854,,,1.0,,0.0012123349588364363,,
19,899,,,,1.0,,,
19,899,,,,,,0.8690000176429749,0.8771562576293945
19,899,,,1.0,,0.0008426527492702007,,
20,944,,,,,,0.8684999942779541,0.9211693406105042
20,944,,,1.0,,0.0005746355163864791,,
21,949,,,,1.0,,,
21,989,,,,,,0.8679999709129333,0.9652060866355896
21,989,,,1.0,,0.0003997229796368629,,
22,999,,,,1.0,,,
22,1034,,,,,,0.8675000071525574,1.0041346549987793
22,1034,,,1.0,,0.0002869137388188392,,
23,1049,,,,1.0,,,
23,1079,,,,,,0.8669999837875366,1.0443464517593384
23,1079,,,1.0,,0.00020750364637933671,,
24,1099,,,,1.0,,,
24,1124,,,,,,0.8659999966621399,1.0840097665786743
24,1124,,,1.0,,0.0001522883540019393,,
25,1149,,,,1.0,,,
25,1169,,,,,,0.8654999732971191,1.1202844381332397
25,1169,,,1.0,,0.000113026806502603,,
26,1199,,,,1.0,,,
26,1214,,,,,,0.8665000200271606,1.1569993495941162
26,1214,,,1.0,,8.402670209761709e-05,,
27,1249,,,,1.0,,,
27,1259,,,,,,0.8650000095367432,1.1956276893615723
27,1259,,,1.0,,6.333537021419033e-05,,
28,1299,,,,1.0,,,
28,1304,,,,,,0.8650000095367432,1.2326569557189941
28,1304,,,1.0,,4.7981797251850367e-05,,
29,1349,,,,1.0,,,
29,1349,,,,,,0.8654999732971191,1.2663811445236206
29,1349,,,1.0,,3.632694642874412e-05,,
30,1350,0.8539999723434448,1.2648829221725464,,,,,
