epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,44,,,,,,0.8859999775886536,0.30766692757606506
0,44,,,0.8224782347679138,,0.42277660965919495,,
1,49,,,,0.916015625,,,
1,89,,,,,,0.8924999833106995,0.2760394513607025
1,89,,,0.9190869331359863,,0.22513513267040253,,
2,99,,,,0.92578125,,,
2,134,,,,,,0.8924999833106995,0.27975961565971375
2,134,,,0.9398260712623596,,0.17251628637313843,,
3,149,,,,0.9375,,,
3,179,,,,,,0.8755000233650208,0.31171107292175293
3,179,,,0.9517391324043274,,0.14327752590179443,,
4,199,,,,0.9609375,,,
4,224,,,,,,0.8849999904632568,0.3338566720485687
4,224,,,0.960304319858551,,0.12016160786151886,,
5,249,,,,0.970703125,,,
5,269,,,,,,0.8859999775886536,0.34586602449417114
5,269,,,0.9652608633041382,,0.10602183640003204,,
6,299,,,,0.966796875,,,
6,314,,,,,,0.8824999928474426,0.3635627329349518
6,314,,,0.9724782705307007,,0.08922400325536728,,
7,349,,,,0.96875,,,
7,359,,,,,,0.8759999871253967,0.4216919243335724
7,359,,,0.9796521663665771,,0.07402767241001129,,
8,399,,,,0.96484375,,,
8,404,,,,,,0.8765000104904175,0.42464321851730347
8,404,,,0.9776086807250977,,0.0750429779291153,,
9,449,,,,0.9766949415206909,,,
9,449,,,,,,0.8740000128746033,0.44972702860832214
9,449,,,0.9865217208862305,,0.05450238659977913,,
10,494,,,,,,0.8690000176429749,0.49666938185691833
10,494,,,0.9894782900810242,,0.04714348539710045,,
11,499,,,,0.994140625,,,
11,539,,,,,,0.8705000281333923,0.522463858127594
11,539,,,0.9916521906852722,,0.039513006806373596,,
12,549,,,,0.990234375,,,
12,584,,,,,,0.8709999918937683,0.5367838740348816
12,584,,,0.9816956520080566,,0.06561616063117981,,
13,599,,,,0.99609375,,,
13,629,,,,,,0.8709999918937683,0.5745165944099426
13,629,,,0.9947826266288757,,0.0288448054343462,,
14,649,,,,1.0,,,
14,674,,,,,,0.8690000176429749,0.5992964506149292
14,674,,,0.9966956377029419,,0.022878890857100487,,
15,699,,,,1.0,,,
15,719,,,,,,0.8690000176429749,0.6246987581253052
15,719,,,0.9976521730422974,,0.019273489713668823,,
16,749,,,,1.0,,,
16,764,,,,,,0.8650000095367432,0.654094934463501
16,764,,,0.9982608556747437,,0.016335589811205864,,
17,799,,,,1.0,,,
17,809,,,,,,0.8610000014305115,0.6993235945701599
17,809,,,0.9986087083816528,,0.013606032356619835,,
18,849,,,,1.0,,,
18,854,,,,,,0.8650000095367432,0.7221856117248535
18,854,,,0.9990000128746033,,0.010902324691414833,,
19,899,,,,1.0,,,
19,899,,,,,,0.862500011920929,0.7628284096717834
19,899,,,0.9992173910140991,,0.008601916022598743,,
20,944,,,,,,0.8105000257492065,1.083347201347351
20,944,,,0.9990434646606445,,0.007423680275678635,,
21,949,,,,1.0,,,
21,989,,,,,,0.8610000014305115,0.8127449154853821
21,989,,,0.98856520652771,,0.0710957869887352,,
22,999,,,,1.0,,,
22,1034,,,,,,0.8615000247955322,0.8260897397994995
22,1034,,,0.9996086955070496,,0.005209063179790974,,
23,1049,,,,1.0,,,
23,1079,,,,,,0.8629999756813049,0.8361825346946716
23,1079,,,0.9997826218605042,,0.004368944093585014,,
24,1099,,,,1.0,,,
24,1124,,,,,,0.859000027179718,0.8564183115959167
24,1124,,,0.9997826218605042,,0.0038467298727482557,,
25,1149,,,,0.998046875,,,
25,1169,,,,,,0.8600000143051147,0.8741140365600586
25,1169,,,0.9997826218605042,,0.0033519654534757137,,
26,1199,,,,1.0,,,
26,1214,,,,,,0.859000027179718,0.8926464915275574
26,1214,,,0.9997826218605042,,0.0028759490232914686,,
27,1249,,,,1.0,,,
27,1259,,,,,,0.859000027179718,0.915253758430481
27,1259,,,0.9998695850372314,,0.002439965261146426,,
28,1299,,,,1.0,,,
28,1304,,,,,,0.859499990940094,0.9415364861488342
28,1304,,,0.9998695850372314,,0.0020584743469953537,,
29,1349,,,,1.0,,,
29,1349,,,,,,0.8600000143051147,0.9787094593048096
29,1349,,,0.9999130368232727,,0.0017163553275167942,,
30,1350,0.848800003528595,0.9982132911682129,,,,,
