epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.6266666650772095,,,
0,76,,,,,,0.7680000066757202,0.49490344524383545
0,76,,,0.6432173848152161,,0.6169739365577698,,
1,99,,,,0.8233333230018616,,,
1,149,,,,0.8033333420753479,,,
1,153,,,,,,0.7580000162124634,0.4862799644470215
1,153,,,0.8213912844657898,,0.4052596390247345,,
2,199,,,,0.8733333349227905,,,
2,230,,,,,,0.828499972820282,0.41179901361465454
2,230,,,0.8813478350639343,,0.2942015826702118,,
3,249,,,,0.9133333563804626,,,
3,299,,,,0.9233333468437195,,,
3,307,,,,,,0.8569999933242798,0.3747099041938782
3,307,,,0.9119130373001099,,0.22538793087005615,,
4,349,,,,0.95333331823349,,,
4,384,,,,,,0.8610000014305115,0.3712097406387329
4,384,,,0.9302173852920532,,0.18582746386528015,,
5,399,,,,0.9599999785423279,,,
5,449,,,,0.9399999976158142,,,
5,461,,,,,,0.8410000205039978,0.4221816956996918
5,461,,,0.9459565281867981,,0.1513802856206894,,
6,499,,,,0.8933333158493042,,,
6,538,,,,,,0.8659999966621399,0.4500513970851898
6,538,,,0.9578260779380798,,0.1241426095366478,,
7,549,,,,0.9800000190734863,,,
7,599,,,,0.9766666889190674,,,
7,615,,,,,,0.8554999828338623,0.4977485239505768
7,615,,,0.9713478088378906,,0.08707385510206223,,
8,649,,,,0.9766666889190674,,,
8,692,,,,,,0.8560000061988831,0.5201160907745361
8,692,,,0.9758260846138,,0.07342943549156189,,
9,699,,,,0.9900000095367432,,,
9,749,,,,0.9700000286102295,,,
9,769,,,,,,0.8550000190734863,0.5304786562919617
9,769,,,0.9846521615982056,,0.05187663063406944,,
10,799,,,,0.9833333492279053,,,
10,846,,,,,,0.8080000281333923,0.6190798878669739
10,846,,,0.9836521744728088,,0.05129718780517578,,
11,849,,,,0.9833333492279053,,,
11,899,,,,0.9866666793823242,,,
11,923,,,,,,0.8454999923706055,0.6769689321517944
11,923,,,0.9901304244995117,,0.03332626074552536,,
12,949,,,,0.9766666889190674,,,
12,999,,,,0.9833333492279053,,,
12,1000,,,,,,0.8529999852180481,0.6339744329452515
12,1000,,,0.9813043475151062,,0.062443312257528305,,
13,1049,,,,0.9900000095367432,,,
13,1077,,,,,,0.847000002861023,0.6776520013809204
13,1077,,,0.9923912882804871,,0.026837659999728203,,
14,1099,,,,0.9933333396911621,,,
14,1149,,,,0.9933333396911621,,,
14,1154,,,,,,0.8144999742507935,0.7110792994499207
14,1154,,,0.9905217289924622,,0.03361921384930611,,
15,1199,,,,0.9599999785423279,,,
15,1231,,,,,,0.8479999899864197,0.7972070574760437
15,1231,,,0.9922608733177185,,0.025644706562161446,,
16,1249,,,,0.996666669845581,,,
16,1299,,,,0.996666669845581,,,
16,1308,,,,,,0.8485000133514404,0.7580800652503967
16,1308,,,0.98969566822052,,0.032020945101976395,,
17,1349,,,,1.0,,,
17,1385,,,,,,0.8475000262260437,0.7931943535804749
17,1385,,,0.9920869469642639,,0.02703951671719551,,
18,1399,,,,1.0,,,
18,1449,,,,0.996666669845581,,,
18,1462,,,,,,0.8525000214576721,0.8340722918510437
18,1462,,,0.9976956248283386,,0.011097335256636143,,
19,1499,,,,1.0,,,
19,1539,,,,,,0.8500000238418579,0.9131271839141846
19,1539,,,0.9992608428001404,,0.004706633742898703,,
20,1540,0.8471599817276001,0.8995983600616455,,,,,
