epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.78125,,,
0,99,,,,0.85546875,,,
0,149,,,,0.84765625,,,
0,187,,,,,,0.9241666793823242,0.27092111110687256
0,187,,,0.7572083473205566,,1.6342017650604248,,
1,199,,,,0.8828125,,,
1,249,,,,0.828125,,,
1,299,,,,0.875,,,
1,349,,,,0.90234375,,,
1,375,,,,,,0.9068333506584167,0.32773691415786743
1,375,,,0.8780208230018616,,0.41875696182250977,,
2,399,,,,0.87890625,,,
2,449,,,,0.85546875,,,
2,499,,,,0.87890625,,,
2,549,,,,0.8828125,,,
2,563,,,,,,0.9386666417121887,0.2067217379808426
2,563,,,0.9007083177566528,,0.3442501127719879,,
3,599,,,,0.90234375,,,
3,649,,,,0.91015625,,,
3,699,,,,0.9296875,,,
3,749,,,,0.91796875,,,
3,751,,,,,,0.9452499747276306,0.1934380829334259
3,751,,,0.909208357334137,,0.31872010231018066,,
4,799,,,,0.9296875,,,
4,849,,,,0.921875,,,
4,899,,,,0.921875,,,
4,939,,,,,,0.9429166913032532,0.19352756440639496
4,939,,,0.9160416722297668,,0.29476553201675415,,
5,949,,,,0.91015625,,,
5,999,,,,0.921875,,,
5,1049,,,,0.92578125,,,
5,1099,,,,0.9140625,,,
5,1127,,,,,,0.9110000133514404,0.30132412910461426
5,1127,,,0.9199166893959045,,0.2871796190738678,,
6,1149,,,,0.921875,,,
6,1199,,,,0.890625,,,
6,1249,,,,0.91796875,,,
6,1299,,,,0.90234375,,,
6,1315,,,,,,0.9432500004768372,0.19985893368721008
6,1315,,,0.9224374890327454,,0.2698286473751068,,
7,1349,,,,0.921875,,,
7,1399,,,,0.9375,,,
7,1449,,,,0.90234375,,,
7,1499,,,,0.91015625,,,
7,1503,,,,,,0.9490000009536743,0.17393064498901367
7,1503,,,0.926645815372467,,0.25922924280166626,,
8,1549,,,,0.92578125,,,
8,1599,,,,0.9296875,,,
8,1649,,,,0.92578125,,,
8,1691,,,,,,0.9497500061988831,0.1906108409166336
